cell,tot_70,fast_70,fast_total,nonfast_70,nonfast_total,jem-date_patch,jem-id_species,jem-id_patched_cell_container,jem-id_rig_user,jem-roi_super,jem-roi_major,jem-roi_minor,cell_id,rna_amplification_pass_fail,Genes.Detected.CPM,avg.cor,ttype,supertype,subclass,ephys_qc,failed_bad_rs,failed_electrode_0,tau,avg_isi,upstroke_downstroke_ratio_short_square,threshold_v_ramp,peak_v_short_square,upstroke_downstroke_ratio_ramp,sag,trough_t_ramp,slow_trough_v_ramp,vrest,has_pause,trough_v_long_square,input_resistance_mohm,trough_t_short_square,fast_trough_v_ramp,trough_t_long_square,threshold_v_long_square,slow_trough_v_long_square,peak_t_ramp,threshold_t_short_square,slow_trough_t_long_square,input_access_resistance_ratio,fast_trough_t_long_square,ri,threshold_t_long_square,threshold_v_short_square,threshold_t_ramp,vm_for_sag,threshold_i_long_square,threshold_i_short_square,slow_trough_t_ramp,peak_v_ramp,fast_trough_v_short_square,fast_trough_t_short_square,fast_trough_t_ramp,initial_access_resistance_mohm,slow_trough_t_short_square,threshold_i_ramp,slow_trough_v_short_square,peak_t_short_square,trough_v_short_square,f_i_curve_slope,created_at,peak_t_long_square,seal_gohm,trough_v_ramp,latency,fast_trough_v_long_square,upstroke_downstroke_ratio_long_square,,peak_v_long_square,adaptation
Htr3a-Cre_NO152;Pvalb-T2A-FlpO;Ai65-445151.02.02.01,12.53250018,5.262737037,0.419927146,7.576866059,0.604577375,2/26/2019,Mouse,P8S4_190226_354_A01,lindsayn,Cortical,VISp,L5,829283610,Pass,8314,0.728184056,0742 Pvalb Gaba_3,Pvalb Gaba_3,Pvalb,manual_passed,FALSE,FALSE,9.150250193,21.54307692,1.690137621,-27.71666718,25.69374847,1.3626467,0.017480666,9.911946667,,-76.44434591,,-57.125,187.87776,1.10489,-54.81041336,0.57252,-30.0625,,9.910646667,0.50346,,0.069387925,0.57248,120.4375476,0.57102,-47.81562424,9.910213333,-90.125,230,620,,16.71249962,-61.27812576,0.50479,9.911806667,13.036448,,235.3333282,,0.5038,-76.75,0.29939759,59:45.3,0.57142,2.134294016,-54.91875076,0.017,-57.0625,1.426257907,,20,0.01776705
Rbp4-Cre_KL100;Ai14-471969.03.02.01,5.049885483,2.143734421,0.424511492,3.053415055,0.604650356,7/1/2019,Mouse,P8S4_190701_354_A01,lindsayn,Cortical,VISp,L5,898678711,Pass,10833,0.786608021,0358 L5 ET CTX Glut_1,L5 ET CTX Glut_1,L5 ET CTX,manual_passed,TRUE,TRUE,,,1.88609609,-35.74583435,-5.452085018,3.430755388,,5.32746,,,,,,0.508333333,-33.29583232,,,,5.325246667,0.501313333,,,,,,-57.79583359,5.3247,,,800,,41.1645813,-41.68437576,0.50529,5.32724,,0.5172,120.6666641,-42.61875153,0.503513333,-42.76874924,,22:02.4,,,-33.44166565,,,,,,
Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-451768.05.02.02,5.045480932,2.784250299,0.551830507,3.05386733,0.605267837,3/28/2019,Mouse,P8S4_190328_356_A01,lindsayn,Cortical,VISp,L2-3,842857909,Pass,7525,0.293559117,0796 Sst Gaba_8,Sst Gaba_8,Sst,auto_passed,FALSE,FALSE,20.38861552,36.05375,1.907239402,-30.13749886,10.58541679,1.768456232,0.092460662,5.938426667,-49.2166659,-74.29816132,,-50.59999847,245.54808,0.747293333,-46.71875,0.57494,-34,-50.34999847,5.924813333,0.503306667,0.5839,0.046547682,0.57442,230.6874096,0.57256,-38.88541794,5.924353333,-99.78749847,110,620,5.938426667,12.76458359,-58.03749466,0.50536,5.926313333,11.429694,,135.6666718,,0.503673333,-74.2979126,0.387850467,58:49.7,0.57298,2.874380288,-49.21666336,0.0257,-50.26250076,1.898963845,,14.49374962,0.024973053
Crh-IRES-Cre_ZJH;Sst-IRES-FlpO;Ai65-529239.08.06.03,17.16365902,7.608151253,0.443270939,10.3929438,0.605520291,6/15/2020,Mouse,PFS4_200615_701_A01,jessicat,Cortical,ORB,L5,1030082332,Pass,7568,0.714832965,0759 Sst Gaba_1,Sst Gaba_1,Sst,auto_passed,FALSE,FALSE,,,,,,,,,,,,,199.983536,,,,,,,,,0.067879083,,,,,,,,,,,,,,13.574699,,,,,,,,,3.170390272,,,,,,,
Slc17a8-iCre;Slc32a1-IRES2-FlpO;Ai65-549380.03.02.02,4.948911372,2.128686756,0.430132325,2.997827723,0.605754983,10/19/2020,Mouse,P8S4_201019_352_A01,lindsayn,Cortical,VISp,L6b,1057573231,Pass,8856,0.773610417,0678 Sncg Gaba_4,Sncg Gaba_4,Sncg,auto_passed,FALSE,FALSE,57.52019944,112.99,4.480127546,-35.75,32.3125,5.639982556,0.102165788,2.791251667,-56.86458588,-60.49688384,,-60.65625381,260.543808,0.527245,-53.25,0.86573,-37.3125,,2.771338333,0.50377,,0.065834149,0.85655,381.8750978,0.847225,-40.40625381,2.770466667,-96.93750763,24,340,2.791251667,33.17708206,-61.06250381,0.511605,2.780401667,17.15268,,56.83333206,,0.504505,-64.68750763,0.143203883,25:02.5,0.84804,1.320184064,-56.86458206,0.02304,-57.71875381,5.048931306,,36.50000381,0.07991481
Oxtr-T2A-Cre;Ai14-513095.07.06.02,8.023862484,3.297522441,0.410964476,4.883455391,0.608616536,3/5/2020,Mouse,P8S4_200305_352_A01,lindsayn,Cortical,ORB,L5,1012622047,Pass,8995,0.631892185,0042 L6 IT CTX Glut_2,L6 IT CTX Glut_2,L6 IT CTX,auto_passed,FALSE,FALSE,16.83768203,214.93,3.76346465,-37.91250229,47.32500458,3.800262161,0.060682561,10.07492,-56.28958639,-78.15996552,,-57.31250381,82.922488,1.09402,-45.5062561,0.7387,-38.20000076,,10.00941333,0.50322,,0.103276086,0.66344,59.15614963,0.66034,-46.20000458,10.00897333,-85.71250916,230,1730,10.07492,48.78750229,-46.11249924,0.50568,10.01211333,8.56391,,237.7916718,,0.50364,-78.83124542,0.084999993,44:17.9,0.66078,1.062874304,-56.28958511,0.07972,-45.70000076,3.912994066,,47.60000229,0.026840553
Ctgf-T2A-dgCre;Ai14-536737.04.01.01,1.864726132,1.906369443,1.022332133,1.141855638,0.612344954,7/31/2020,Mouse,PAS4_200731_453_A01,ramr,Cortical,VISp,L6b,1039842973,Pass,7793,0.729967497,0414 L6b/CT ENT Glut_2,L6b/CT ENT Glut_2,L6b/CT ENT,auto_passed,FALSE,FALSE,,,,,,,,,,,,,190.806336,,,,,,,,,0.065302527,,,,,,,,,,,,,,12.460136,,,,,,,,,2.929638656,,,,,,,
Sncg-IRES2-FlpO-neo;Ai65F-460309.03.01.02,12.51164703,5.453066818,0.435839247,7.680992676,0.613907398,5/2/2019,Mouse,P2S4_190502_052_A01,rustym,Cortical,VISp,L2-3,861765347,Pass,9468,0.77444848,0676 Sncg Gaba_3,Sncg Gaba_3,Sncg,manual_passed,FALSE,FALSE,18.82710112,84.96,2.277980233,-38.04791641,35.76250076,2.439580507,0.088658519,2.935866667,,-78.22540283,,-47.47499847,374.0608,0.5048,-48.2895813,0.66068,-38.72499847,,2.934386667,0.50316,,0.037393456,0.66064,279.4375718,0.65894,-41.04999924,2.93394,-100.7999954,60,580,,38.7270813,-49.58749771,0.5047,2.935746667,13.987426,,61.25,,0.50358,-49.59375,0.215,24:28.2,0.65938,2.891622144,-48.3666687,0.0342,-47.4375,2.408040652,,38.19374847,0.12817172
Ctgf-T2A-dgCre;Ai14-498109.04.02.02,1.853351814,1.080801492,0.583160458,1.143239699,0.616849802,11/21/2019,Mouse,P8S4_191121_352_A01,lindsayn,Cortical,VISp,L6a,988957754,Pass,9378,0.72980843,0431 L6b CTX Glut_3,L6b CTX Glut_3,L6b CTX,manual_passed,TRUE,TRUE,,,3.772006179,-39.79374695,27.34375191,3.934630112,,1.17948,-55.26666896,,,,,0.78014,-48.24792099,,,,1.117113333,0.50344,,,,,,-41.36250305,1.116433333,,,310,1.17948,26.28750038,-50.03125381,0.50852,1.122926667,,,15.5,,0.50406,-65.65625,,07:43.8,,,-55.26666641,,,,,,
Pvalb-IRES-Cre;Ai14-510678.10.06.02,16.30234742,7.611443887,0.466892509,10.05935878,0.617049712,2/14/2020,Mouse,PES4_200214_652_A01,katherineb,Cortical,CTXsp,CLA,1007258979,Pass,9300,0.76447637,0743 Pvalb Gaba_4,Pvalb Gaba_4,Pvalb,manual_passed,TRUE,TRUE,,,1.543620164,-33.65000153,20.28125,1.253437476,,16.44224,,,,,,0.73302,-56.83749771,,,,16.44112,0.50314,,,,,,-46.12187958,16.44074,,,540,,12.25000095,-58.85625076,0.50443,16.4421,,,398.625,,0.50346,-67.984375,,34:05.4,,,-56.98125458,,,,,,
