patched_cell_container,cell_name,cell_id,KCNMA1,KCNN1,KCNN2,KCNN3,KCNN4,KCNU1,KCNJ1,KCNJ2,KCNJ3,KCNJ4,KCNJ5,KCNJ6,KCNJ8,KCNJ9,KCNJ10,KCNJ11,KCNJ12,KCNJ13,KCNJ14,KCNJ15,KCNJ16,KCNJ18,KCNT1,KCNT2,KCNK1,KCNK2,KCNK3,KCNK4,KCNK5,KCNK6,KCNK7,KCNK9,KCNK10,KCNK12,KCNK13,KCNK15,KCNK16,KCNK17,KCNK18,KCNA1,KCNA2,KCNA3,KCNA4,KCNA5,KCNA6,KCNA7,KCNA10,KCNB1,KCNB2,KCNC1,KCNC2,KCNC3,KCNC4,KCND1,KCND2,KCND3,KCNF1,KCNG1,KCNG2,KCNG3,KCNG4,KCNH1,KCNH2,KCNH3,KCNH4,KCNH5,KCNH6,KCNH7,KCNH8,KCNQ1,KCNQ2,KCNQ3,KCNQ4,KCNQ5,KCNS1,KCNS2,KCNS3,KCNV1,KCNV2
PNS4_211115_857_A01,SC21.26.030.14.01.11,1140865860,10.0352107,4.748672492,7.027017798,4.748672492,0,0,3.801362338,0,5.315635228,0,0,6.517177686,3.801362338,0,0,0,0,0,0,6.297408048,4.748672492,0,4.748672492,5.315635228,7.402974405,4.748672492,4.748672492,0,3.801362338,3.801362338,0,4.748672492,6.517177686,5.315635228,6.297408048,0,0,0,0,0,5.315635228,0,3.801362338,0,0,0,5.315635228,0,4.748672492,8.222385669,8.982242837,3.801362338,3.801362338,0,5.315635228,7.787990421,5.315635228,0,0,3.801362338,3.801362338,7.7009355,4.748672492,0,0,6.038037548,0,8.091601108,5.315635228,5.721587923,3.801362338,9.78308637,0,6.038037548,0,0,7.608288265,0,0
PNS4_211115_858_A01,SC21.26.030.14.01.12,1140868880,8.227736371,6.022883076,6.750946306,7.744233298,0,7.232540954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.750946306,0,5.448971831,0,0,4.481626574,0,0,0,0,0,6.750946306,4.481626574,0,8.006145825,0,0,0,0,0,7.011746512,0,0,0,0,0,0,7.011746512,4.481626574,0,7.881124996,0,0,4.481626574,7.881124996,6.432363039,0,0,0,5.448971831,0,6.022883076,0,0,4.481626574,7.011746512,0,8.326951169,0,6.022883076,0,7.011746512,0,6.022883076,0,0,6.432363039,0,0
PRS4_211115_253_A01,SC21.26.030.14.04.01,1140829605,6.087593623,0,0,0,0,0,0,0,0,0,0,8.654768433,0,0,0,0,0,0,0,0,5.108653343,0,5.108653343,6.665467344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.396736727,0,6.665467344,0,0,0,6.665467344,7.076947348,0,5.108653343,0,5.108653343,0,6.665467344,0,0,5.108653343,0,0,0,0,0,5.108653343,0,0,0,0,0,0,0,0,0,5.108653343,0,0,0,0,0
PRS4_211115_254_A01,SC21.26.030.14.04.02,1140836629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46101044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46101044,0,0,10.26132981,0,7.46101044,0,0,0,0,0
PRS4_211115_255_A01,SC21.26.030.14.04.03,1140855335,10.51752064,0,0,7.204423306,3.518938702,3.518938702,0,0,9.004774121,0,0,7.303306699,0,0,0,0,0,0,0,3.518938702,0,0,5.017459566,7.786121454,0,6.983660295,0,3.518938702,0,0,0,4.454597864,3.518938702,0,0,0,0,0,0,5.421318394,7.098260367,8.09298626,4.454597864,0,0,0,0,6.859165353,7.204423306,5.017459566,5.736497472,0,0,3.518938702,8.913809381,5.995014929,0,0,0,4.454597864,0,8.298732465,3.518938702,8.298732465,4.454597864,3.518938702,0,7.303306699,5.995014929,5.736497472,5.017459566,9.559091854,3.518938702,9.09034196,0,0,3.518938702,0,0
PRS4_211115_256_A01,SC21.26.030.14.04.04,1140864309,8.203528949,4.870302925,4.165851521,3.620527631,0,0,0,0,4.165851521,2.73329998,2.73329998,6.902613139,0,4.165851521,2.73329998,4.560653683,0,0,2.73329998,4.165851521,0,0,5.125092982,5.845427182,0,0,4.560653683,0,2.73329998,0,0,5.125092982,6.218136821,6.902613139,4.165851521,0,0,0,0,0,6.323667154,0,0,0,0,0,0,6.514058978,4.870302925,8.589400077,9.587526121,0,0,0,5.341567605,9.345895713,0,2.73329998,0,2.73329998,0,5.529758349,2.73329998,2.73329998,0,5.529758349,0,4.560653683,5.696209336,5.98064786,0,9.629292719,0,4.870302925,0,0,6.902613139,0,0
PAS4_211116_451_A01,SC21.26.030.14.07.01,1140958890,7.106469603,4.177953503,5.708776118,7.426302334,0,3.255534574,0,0,0,3.255534574,3.255534574,6.284514432,0,7.106469603,0,3.255534574,0,0,0,0,4.736100009,0,3.255534574,5.137540249,6.284514432,8.559223565,0,0,0,0,3.255534574,7.014057977,0,0,7.626841753,0,0,3.255534574,3.255534574,8.05559125,7.275230889,0,0,0,0,0,0,4.736100009,5.137540249,0,0,4.177953503,0,0,8.05559125,8.101225477,7.746551944,0,5.708776118,4.736100009,0,5.927222536,3.255534574,7.687938138,4.177953503,0,0,4.736100009,0,0,0,4.177953503,0,7.563043152,0,5.708776118,3.255534574,0,0
PAS4_211116_452_A01,SC21.26.030.14.07.02,1141023775,7.029556363,0,6.670137838,4.498776041,4.897771473,4.498776041,0,0,3.945372254,0,0,7.556669381,0,3.036106394,0,0,3.945372254,0,0,3.036106394,4.498776041,0,5.873368867,0,6.450104572,6.326072964,0,3.036106394,3.036106394,0,0,0,3.036106394,0,3.036106394,0,0,0,0,8.279461734,0,0,6.190366516,0,0,0,0,5.466511518,8.063403084,0,5.466511518,3.036106394,4.498776041,0,9.041112151,3.945372254,0,0,3.036106394,5.873368867,3.036106394,3.945372254,0,3.945372254,7.317053855,0,0,3.036106394,5.684235249,3.945372254,3.036106394,5.466511518,0,8.101735298,0,0,6.040556813,0,0
PAS4_211116_453_A01,SC21.26.030.14.07.03,1141026597,8.781615233,0,7.784889786,0,0,0,0,0,0,0,0,0,0,0,8.781615233,0,0,0,0,0,0,0,0,0,8.781615233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77874389,0,0,0,0,0,7.784889786,0,0,0,0,0,0,7.784889786,0,0,0,7.784889786,0,0,0,0,0,7.784889786,0,11.77874389,0,0,0,0,0
PAS4_211116_454_A01,SC21.26.030.14.07.04,1141029333,9.904746218,4.786558821,5.760182713,5.760182713,0,0,0,0,0,0,0,5.760182713,0,0,0,0,0,0,0,0,0,0,0,0,8.54453927,6.336244918,4.786558821,0,0,0,0,0,0,0,0,0,0,0,0,8.643817335,4.786558821,4.786558821,0,0,0,0,0,0,6.336244918,0,4.786558821,0,5.760182713,0,10.56715664,5.760182713,0,0,0,4.786558821,0,6.336244918,0,5.760182713,4.786558821,6.336244918,0,0,0,0,0,8.060657125,4.786558821,10.28905778,0,0,4.786558821,0,0
